,Country,Description,Quantity,Totalprice
377,Australia,RABBIT NIGHT LIGHT,1884,3375.84
812,Austria,POSTAGE,37,1456.0
924,Bahrain,OCEAN SCENT CANDLE IN JEWELLED BOX,114,436.98
1409,Belgium,POSTAGE,278,4290.0
1742,Brazil,REGENCY CAKESTAND 3 TIER,16,175.2
1835,Canada,POSTAGE,1,550.94
2123,Channel Islands,Manual,2,586.0
2601,Cyprus,Manual,2,641.38
2844,Czech Republic,PINK METAL CHICKEN HEART ,72,107.28
3012,Denmark,POSTAGE,43,762.0
4229,EIRE,Manual,12,15226.45
5161,European Community,POSTAGE,9,141.0
5477,Finland,POSTAGE,99,3828.0
6442,France,Manual,30,18995.230000000003
8298,Germany,POSTAGE,1124,21181.0
9006,Greece,POSTAGE,8,385.0
9156,Hong Kong,Manual,6,11127.62
9249,Iceland,3D DOG PICTURE PLAYING CARDS,126,371.7
9519,Israel,REGENCY CAKESTAND 3 TIER,50,551.0999999999999
9925,Italy,POSTAGE,46,1681.0
10220,Japan,RABBIT NIGHT LIGHT,3415,6112.85
10335,Lebanon,REGENCY CAKESTAND 3 TIER,12,153.0
10369,Lithuania,GREY FLORAL FELTCRAFT SHOULDER BAG,36,135.0
10442,Malta,POSTAGE,14,785.0
11005,Netherlands,RABBIT NIGHT LIGHT,4801,9568.48
11658,Norway,POSTAGE,57,2870.5
12010,Poland,POSTAGE,9,360.0
12443,Portugal,Manual,15,8460.380000000001
12808,RSA,CLASSIC METAL BIRDCAGE PLANT HOLDER,3,38.25
12857,Saudi Arabia,GLASS JAR DAISY FRESH COTTON WOOL,11,32.45
12948,Singapore,Manual,14,24317.8
13743,Spain,POSTAGE,209,5852.0
14341,Sweden,SET OF 3 BABUSHKA STACKING TINS,480,2376.0
15049,Switzerland,POSTAGE,107,4124.0
15515,USA,SET 6 SCHOOL MILK BOTTLES IN CRATE,48,162.72
15608,United Arab Emirates,REGENCY CAKESTAND 3 TIER,12,153.0
18064,United Kingdom,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6
19969,Unspecified,JAM MAKING SET WITH JARS,18,70.5
